OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,YearBuilt,YearRemodAdd,GarageCars,GarageArea,FullBath,TotRmsAbvGrd,KitchenQual,Fireplaces,LotArea,Neighborhood,ExterQual,SalePrice
10,2945,1410,1426,2006,2006,3,641,3,10,Gd,1,13682,StoneBr,Ex,438780
5,780,780,780,1972,1972,1,352,1,4,TA,0,7200,CollgCr,TA,124900
6,1158,1158,1158,2004,2004,2,576,1,5,Gd,0,13072,SawyerW,TA,158000
5,1111,530,581,1920,1996,1,288,1,6,Fa,0,7200,IDOTRR,TA,101000
8,1370,1370,1370,2006,2006,2,484,2,6,Gd,1,6442,NridgHt,Gd,202500
7,2207,1947,2207,1970,1989,2,576,2,7,TA,1,19900,NAmes,TA,180000
7,1479,1453,1479,2003,2003,2,558,2,7,Gd,0,10665,CollgCr,Gd,226000
4,747,747,747,1945,1950,1,220,1,4,TA,0,4608,OldTown,TA,80000
7,2287,1304,1304,1953,1953,2,667,2,7,TA,1,15593,ClearCr,Gd,225000
7,2223,2223,2223,1973,1973,2,516,2,8,TA,2,13651,NAmes,TA,244000
4,845,845,845,1982,2006,2,360,1,4,TA,0,7599,Mitchel,TA,129500
7,1718,832,885,1998,1998,2,427,2,7,TA,1,10141,Gilbert,TA,185000
5,1086,1086,1086,1954,2003,2,490,1,6,TA,0,10200,NAmes,TA,144900
3,1605,840,840,1915,1950,1,379,2,8,TA,0,5790,OldTown,Gd,107400
5,1285,672,1072,1948,2001,1,240,1,6,TA,0,8635,BrkSide,TA,127000
4,1768,1768,1768,1968,1968,0,0,2,8,TA,0,10778,Sawyer,TA,136500
5,1230,440,682,1910,1981,2,440,1,5,TA,0,10440,OldTown,TA,110000
8,1563,1563,1563,2007,2007,3,758,2,6,Gd,1,10206,Somerst,TA,245000
5,1065,1065,1065,1960,1960,2,461,1,6,TA,0,8892,NAmes,TA,126500
7,1474,384,804,1995,1996,2,400,2,7,TA,1,8530,Gilbert,TA,168500
6,1560,684,684,2005,2005,2,400,2,6,Gd,1,11911,Gilbert,Gd,174000
6,1224,612,612,2009,2009,2,528,2,4,Gd,0,3951,Somerst,Gd,164500
3,1526,1013,1013,1915,1982,0,0,1,6,Fa,0,8470,IDOTRR,Fa,85000
4,1040,0,1040,1950,1950,2,420,1,4,TA,0,7200,NAmes,TA,109900
5,1235,1235,1235,1961,1961,2,480,1,6,TA,0,8500,NAmes,TA,98600
5,964,876,964,1921,2006,2,432,1,5,TA,0,13360,Crawfor,TA,163500
6,1786,824,905,1997,1997,2,684,2,7,Gd,0,9337,CollgCr,TA,204750
6,1470,680,680,1993,1993,2,420,2,6,TA,1,9765,Gilbert,Ex,185000
4,960,960,960,1965,1965,1,432,1,6,TA,0,10921,Edwards,TA,94750
5,835,458,835,1920,1950,1,366,1,5,TA,0,10625,Edwards,TA,83000
6,1610,1610,1610,1977,2001,2,480,2,6,Gd,2,10603,NWAmes,TA,205000
6,1732,741,977,1985,1985,2,476,2,7,Gd,1,9206,SawyerW,Gd,178000
5,1535,0,1535,1979,1979,2,410,2,8,TA,0,7018,SawyerW,TA,118964
7,1226,1226,1226,2009,2009,3,740,2,6,Gd,0,10402,CollgCr,TA,198900
8,1992,1053,1053,2003,2004,2,648,2,9,Gd,1,9375,Somerst,Gd,250000
4,1047,641,1047,1885,1995,1,273,1,6,TA,0,10800,OldTown,TA,100000
5,789,789,789,1948,1950,1,250,1,5,TA,0,6000,OldTown,TA,115000
5,1517,793,997,1919,2005,0,0,2,7,Fa,0,8500,IDOTRR,TA,115000
6,1844,1844,1844,1977,1977,2,546,2,7,TA,1,11751,NWAmes,TA,190000
6,1855,994,1216,1954,1972,1,325,2,7,TA,0,9525,Edwards,TA,136900
7,1430,384,774,2000,2000,2,400,2,7,TA,1,7750,Gilbert,TA,180000
6,2259,1809,2259,1953,1953,2,450,2,7,Gd,2,21000,Crawfor,TA,217000
6,1458,729,729,1999,1999,2,440,2,5,TA,1,3230,Somerst,TA,176000
5,1092,1092,1092,1962,1962,1,288,1,6,TA,1,11616,Sawyer,TA,139000
7,3222,1673,1699,1990,1990,3,594,3,11,Gd,2,12376,SawyerW,TA,320000
6,1456,728,728,2005,2006,2,390,2,8,Gd,1,8461,CollgCr,Gd,163990
6,1080,1080,1080,1958,1958,1,288,1,5,TA,0,9464,NAmes,TA,136000
6,1199,1199,1199,1993,1993,2,530,2,5,Gd,0,7892,SawyerW,Gd,153900
6,1586,1362,1586,1979,1998,2,435,2,7,TA,1,17043,NWAmes,TA,181000
6,754,520,520,1935,1982,0,0,1,5,TA,0,6780,IDOTRR,TA,84500
6,958,1078,958,1976,1976,2,440,2,5,TA,1,4928,NPkVill,TA,128000
5,840,672,840,1930,1950,0,0,1,5,TA,1,4388,OldTown,TA,87000
6,1348,660,660,1966,1966,2,453,1,6,TA,1,7590,NAmes,TA,155000
5,1053,1008,1053,1958,1991,2,750,1,6,Ex,0,8973,NAmes,TA,150000
7,2157,924,1216,1966,1966,2,487,2,8,Gd,2,14200,NAmes,TA,226000
6,2054,992,1022,2000,2000,2,390,2,7,Gd,1,12224,Gilbert,Gd,244000
5,1327,1063,1327,1959,2002,2,624,1,7,Gd,0,7388,NAmes,TA,150750
8,1296,1267,1296,2001,2002,2,471,2,6,Gd,0,6853,Timber,Gd,220000
5,1721,1461,1721,1968,1993,2,440,2,7,TA,1,10335,Sawyer,TA,180000
7,1682,1304,1682,1970,1970,2,530,2,7,TA,1,10400,NWAmes,TA,174000
5,1214,1214,1214,1967,1967,1,318,2,5,TA,1,10355,NAmes,TA,143000
7,1959,1907,1959,1988,1989,3,766,3,9,TA,0,11070,Mitchel,TA,171000
8,1852,1004,1004,1999,2000,3,660,2,7,Gd,2,9066,CollgCr,Gd,230000
6,1764,928,928,1997,1997,2,470,2,7,Gd,0,15426,CollgCr,TA,231500
7,1734,1734,1734,2005,2005,2,660,2,7,Gd,0,11645,CollgCr,Gd,260000
5,1385,910,910,1952,1952,2,720,2,6,TA,0,8520,NAmes,TA,166000
7,1501,1490,1501,1999,1999,2,577,2,6,Gd,0,10335,CollgCr,Gd,204000
6,1709,970,970,2004,2006,2,380,2,7,Gd,0,2522,Edwards,Gd,130000
5,875,715,875,1931,1993,1,180,1,5,TA,0,6120,BrkSide,TA,105000
7,1080,1080,1080,2004,2005,0,0,1,6,Gd,0,7500,SawyerW,TA,141000
5,1344,896,896,1936,1950,1,240,1,7,TA,0,6240,BrkSide,TA,115000
5,969,969,969,1975,1975,2,440,1,5,TA,0,10356,CollgCr,TA,122000
8,1710,1710,1710,2007,2008,3,866,2,6,Gd,1,13891,NridgHt,Gd,372402
6,1993,825,1097,1971,1971,2,495,2,8,TA,1,14803,NWAmes,TA,190000
6,1252,1602,1252,1960,1975,2,564,1,4,TA,1,13500,ClearCr,TA,235000
6,1200,1200,1200,1923,1950,1,312,1,7,TA,0,11340,OldTown,TA,125000
6,1096,572,572,1924,1950,0,0,1,5,TA,0,9600,Edwards,TA,79000
5,1040,0,1040,1950,1950,2,625,1,5,TA,0,7200,NAmes,TA,109500
7,2462,1392,1392,2005,2006,2,576,2,9,Gd,1,19378,Gilbert,Gd,320000
6,1232,1232,1232,1984,1984,2,516,2,6,TA,0,11120,Veenker,TA,162500
9,2668,1572,1572,2003,2004,3,726,2,10,Ex,2,13688,NridgHt,Gd,412500
7,1541,1541,1541,2005,2005,2,532,2,7,Gd,1,12182,NridgHt,Gd,220000
4,882,882,882,1956,1956,0,0,1,4,TA,0,5500,OldTown,TA,103200
5,1355,644,808,1940,1999,0,0,2,6,TA,0,10106,Edwards,TA,127500
5,1867,1617,1867,1955,1993,1,303,1,7,TA,3,10708,ClearCr,Gd,190000
8,2161,1582,1610,2007,2007,3,789,1,8,Ex,1,10562,NridgHt,Gd,325624
8,1707,1686,1707,1981,1981,2,511,2,6,TA,1,16669,Timber,Gd,228000
5,1382,720,854,1941,1950,2,660,1,7,TA,0,12358,OldTown,TA,128500
6,1362,1362,1362,1961,1961,2,504,1,6,TA,1,10197,NAmes,TA,163000
6,1651,1606,1651,1986,1986,2,616,2,7,TA,1,12416,Timber,TA,184000
6,2158,1202,2158,1950,2001,2,576,2,7,Gd,1,12615,Edwards,TA,243000
6,2060,1151,1164,1988,1989,2,521,2,8,TA,1,10029,ClearCr,Gd,211000
5,1920,1052,1252,1958,1958,2,451,2,8,Gd,1,13650,Sawyer,Gd,172500
6,1525,756,769,2000,2000,2,440,2,5,Gd,1,2117,Somerst,Gd,177000
7,2082,1362,1362,2003,2003,2,484,2,6,Gd,0,11426,OldTown,TA,200000
5,1252,504,936,1908,1991,2,576,1,5,TA,0,7438,BrkSide,TA,127000
10,3608,1107,1518,1892,1993,3,840,2,12,Ex,2,22950,OldTown,Gd,475000
5,1656,660,808,1916,1987,1,180,2,8,TA,0,10410,OldTown,TA,135000
8,1593,1593,1593,2001,2002,2,682,1,5,Ex,1,4923,StoneBr,Gd,286000
8,2727,853,1549,1932,1994,2,440,2,10,Gd,2,10570,Crawfor,Gd,315000
7,1479,725,725,1972,2004,2,484,1,7,Gd,0,7472,NAmes,TA,184000
7,1431,1431,1431,1999,1999,2,666,2,6,Gd,0,9017,CollgCr,Gd,192000
5,864,864,864,1972,1972,1,352,1,5,TA,0,7180,CollgCr,TA,127000
6,1456,855,855,1976,1976,2,440,2,7,TA,1,2280,NPkVill,TA,148500
7,1726,1726,1726,2007,2007,3,786,2,8,Ex,1,9416,Somerst,Ex,311872
8,3112,1360,1360,1918,1990,2,795,2,8,Gd,1,25419,NAmes,Gd,235000
6,2229,755,929,1912,1950,0,0,1,8,TA,0,5520,OldTown,TA,104000
8,1713,1713,1713,2004,2005,3,856,2,7,Ex,1,9591,NridgHt,Gd,274900
4,1121,1121,1121,2003,2004,2,440,2,5,TA,0,8546,Edwards,TA,140000
6,1279,1196,1279,1977,1977,2,473,2,6,TA,2,10125,Mitchel,TA,171500
5,1284,720,720,1947,1950,1,240,1,5,TA,0,3500,OldTown,TA,110000
5,1696,1140,1696,1962,1962,1,349,1,8,TA,1,13673,Sawyer,TA,143900
4,1100,1100,1100,1960,1960,1,312,1,6,TA,1,12493,NAmes,TA,141000
7,2062,1157,1180,1988,1989,2,454,2,7,TA,1,14364,SawyerW,Gd,277000
6,1092,1092,1092,1964,1964,2,504,1,6,TA,0,8250,NAmes,TA,145000
5,864,864,864,1925,1950,0,0,1,5,TA,0,5604,Edwards,TA,98000
6,1212,1212,1212,2009,2009,2,460,2,6,Gd,0,10420,Edwards,TA,186000
7,1852,900,932,2009,2009,2,644,2,7,Gd,1,8640,Somerst,TA,252678
5,990,990,990,1995,1995,2,576,1,5,TA,0,13568,CollgCr,TA,156000
6,1392,689,689,1977,1977,1,299,1,6,TA,0,10900,CollgCr,TA,161750
5,1236,1070,1236,1957,1996,1,447,1,6,Gd,1,10011,NAmes,TA,134450
7,1436,1436,1436,2004,2004,2,484,2,8,Gd,0,8450,CollgCr,Gd,210000
7,1954,798,1137,1939,2006,2,431,1,8,Gd,2,15660,Crawfor,Gd,311500
7,1248,1248,1248,2005,2006,2,438,2,5,Gd,0,3010,Blmngtn,Gd,167240
7,1498,1498,1498,2006,2006,2,675,2,5,Gd,0,8990,CollgCr,Gd,204900
6,2267,1010,1010,2002,2002,2,390,2,8,Gd,1,8068,Gilbert,Gd,200000
6,1552,713,811,1975,1975,2,434,2,6,TA,1,11475,NWAmes,TA,179900
4,864,864,864,1971,1971,2,576,1,4,TA,0,10500,NAmes,TA,97000
10,2392,2392,2392,2003,2003,3,968,2,8,Ex,1,13472,NridgHt,Ex,386250
5,1302,630,630,1971,1971,1,280,2,6,TA,0,1680,BrDale,TA,112000
7,2520,1203,1214,1995,1995,3,721,2,9,Gd,1,9950,NoRidge,Gd,290000
6,987,483,483,1970,1970,1,280,1,5,TA,0,1869,BrDale,TA,106000
5,912,912,912,1967,1967,1,336,1,5,TA,1,8521,Sawyer,TA,125000
7,1555,1373,1555,2005,2006,2,430,2,7,Gd,1,3182,Blmngtn,Gd,192500
6,1194,1194,1194,1959,1959,1,312,1,6,TA,0,8760,NAmes,TA,148000
8,2794,1462,1490,1995,1996,3,810,2,9,Ex,1,15138,NoRidge,Gd,403000
6,987,483,483,1972,1972,1,288,1,5,TA,1,1680,BrDale,TA,94500
5,894,894,894,1976,1976,1,308,1,5,TA,0,10650,CollgCr,TA,128200
6,1960,860,860,2002,2002,2,440,2,8,Gd,2,7851,Gilbert,Gd,216500
6,987,483,483,1971,1971,1,264,1,5,TA,0,1680,BrDale,TA,89500
7,1414,1414,1414,2004,2004,2,494,2,6,Gd,0,8773,CollgCr,Gd,185500
7,1744,996,1014,1993,2003,2,457,2,7,Gd,0,9453,SawyerW,Gd,194500
8,1566,1566,1566,2008,2008,2,750,2,7,Gd,0,9000,Somerst,Gd,262500
5,866,686,866,1945,1997,0,0,1,4,Gd,0,3880,OldTown,TA,110500
5,1440,540,889,1900,1950,1,352,1,6,TA,0,5000,OldTown,TA,79000
6,1217,626,626,1980,1980,1,288,1,6,TA,1,10762,SawyerW,TA,120000
7,2110,948,1222,1994,2002,2,463,2,8,Gd,2,8880,SawyerW,Gd,205000
7,1872,1845,1872,1988,1988,2,604,2,6,TA,1,10400,NWAmes,TA,241500
6,1928,1020,908,1910,1950,1,440,2,9,Fa,0,9142,OldTown,TA,137000
6,1375,1367,1375,1954,1954,2,451,1,5,TA,1,11310,NAmes,TA,140000
6,2144,1444,1444,1958,2006,2,389,2,7,Gd,2,159000,ClearCr,Gd,277000
3,1306,728,1306,1940,1966,0,0,1,6,Fa,0,5350,BrkSide,TA,76500
8,1625,1573,1625,2006,2007,2,538,2,5,Gd,1,4750,Crawfor,Gd,235000
6,1640,798,798,2004,2004,2,520,2,6,Gd,0,8366,SawyerW,Gd,173000
6,1302,1302,1302,1964,1991,1,309,2,7,Gd,0,9350,NAmes,TA,158000
5,1314,1314,1314,1957,1957,1,294,1,5,TA,0,8400,NAmes,TA,145000
7,2291,975,1005,1999,1999,2,429,2,8,Gd,1,8738,Gilbert,Gd,230000
6,1728,864,864,2003,2003,2,673,2,7,Gd,0,8791,Somerst,Gd,207500
7,1792,963,963,2001,2001,2,564,2,7,Gd,1,12435,CollgCr,Gd,231500
6,1382,1362,1382,1962,1962,2,884,1,6,TA,1,19296,NAmes,TA,176000
8,2574,1482,1482,2007,2007,3,868,2,10,Ex,1,9588,CollgCr,Gd,276000
6,1212,506,1212,1977,1995,2,492,1,6,TA,1,8471,Sawyer,TA,151000
5,1316,926,926,1929,2001,2,484,1,6,TA,0,5500,OldTown,TA,130000
5,764,680,764,1925,2004,2,504,1,4,TA,0,5232,OldTown,TA,73000
6,1422,1422,1422,1981,1981,2,576,2,7,Gd,1,12090,NWAmes,TA,175500
6,1511,802,802,1997,1997,2,413,2,8,TA,1,11207,Gilbert,TA,185000
5,2192,720,1052,1939,1997,1,240,2,8,Gd,1,8400,SWISU,TA,179500
5,778,740,778,1940,1955,1,924,1,4,TA,1,6900,IDOTRR,TA,120500
6,1113,1143,1113,1976,1976,1,504,1,6,TA,1,7917,Edwards,TA,148000
8,1939,1095,1095,2006,2006,3,1053,2,8,Gd,1,10728,Somerst,Gd,266000
7,1363,1385,1363,1954,2005,2,439,1,5,TA,2,39104,ClearCr,TA,241500
8,2270,1152,1164,1999,2007,3,671,2,9,Gd,1,11764,NoRidge,Gd,290000
6,1632,1240,1632,1958,1988,1,338,2,6,TA,1,9600,NAmes,TA,139000
5,816,816,816,1982,1982,1,264,1,5,TA,0,8314,Mitchel,TA,124500
7,1548,952,952,1925,2007,2,672,2,5,Ex,0,7264,BrkSide,Gd,205000
9,2121,2121,2121,2006,2007,3,732,2,8,Ex,1,14450,NridgHt,Ex,415298
7,2022,1160,1156,1977,1977,2,505,2,8,TA,1,10005,ClearCr,TA,192000
7,1982,807,1175,1989,1989,2,575,2,7,Gd,1,11287,SawyerW,Gd,228500
6,1262,1262,1262,2006,2006,2,572,2,5,Gd,0,7200,Somerst,Gd,185000
7,1314,1314,1314,2007,2008,2,626,2,6,Gd,1,5063,NridgHt,Gd,207500
8,1468,1468,1468,2008,2009,3,898,2,6,Gd,1,9612,Somerst,Gd,244600
6,1575,1575,1575,1992,1992,2,529,2,5,Gd,0,8012,SawyerW,Gd,179200
7,1250,625,625,2006,2007,2,528,2,5,Gd,0,4251,Somerst,Gd,164700
6,1734,912,1085,1962,1981,2,440,1,7,Gd,1,9786,NAmes,TA,159000
4,858,858,858,1971,1971,0,0,1,5,TA,0,8125,NAmes,TA,88000
5,900,882,900,1967,1967,1,280,1,5,TA,0,9819,Sawyer,TA,122000
6,1396,698,698,1915,2003,1,384,1,7,TA,0,8730,BrkSide,TA,153575
5,1716,768,1148,1949,2008,1,281,1,8,TA,1,11409,Edwards,TA,131000
6,1644,1416,1644,1953,1953,2,418,1,7,TA,2,9600,NAmes,TA,167000
6,1003,1003,1003,1984,1984,2,588,1,6,TA,0,7937,Mitchel,TA,142500
7,1950,975,975,1997,1998,2,576,2,7,Gd,1,7399,Somerst,Gd,239000
6,1152,1092,1152,1950,2004,1,300,1,6,Gd,1,14000,Crawfor,TA,158500
5,1336,1165,1336,1953,1953,1,375,1,5,TA,2,15750,Crawfor,TA,157000
7,1541,1541,1541,2001,2002,3,843,2,6,Gd,1,13704,CollgCr,Gd,205000
5,894,894,894,1972,1972,2,552,1,5,TA,0,9800,CollgCr,TA,149900
7,3493,1470,1675,1880,2002,3,870,3,10,Gd,1,18386,OldTown,TA,295000
8,2000,2000,2000,2004,2005,3,888,2,8,Gd,0,10386,CollgCr,Gd,305900
7,2243,700,1122,1990,1991,3,746,2,8,Gd,1,13474,SawyerW,Gd,225000
6,1406,319,1035,1920,1950,0,0,1,6,Fa,0,7920,IDOTRR,TA,89500
4,861,861,861,1940,1950,2,539,1,4,TA,0,12342,Edwards,TA,82500
9,1944,1896,1944,2003,2004,3,708,2,8,Ex,3,12378,NridgHt,Gd,360000
6,972,972,972,1948,2002,1,240,1,5,TA,1,8000,NAmes,TA,132000
5,1118,793,793,1939,1950,2,410,1,5,TA,1,7800,OldTown,TA,119900
7,2036,2136,2036,1965,1965,2,513,2,8,TA,2,215245,Timber,TA,375000
7,1641,728,832,1925,1990,2,546,1,6,Ex,1,9600,OldTown,TA,178000
7,1432,716,716,2004,2005,2,432,2,6,Gd,1,7795,Gilbert,Gd,188500
7,2353,845,1153,1980,1980,2,484,2,10,Ex,1,13005,NWAmes,Gd,260000
7,2646,1347,1372,1993,1993,3,656,2,9,Gd,1,9900,NoRidge,Gd,260000
7,1472,1372,1472,1980,1980,2,588,2,6,TA,2,14115,NWAmes,TA,187500
9,2596,1249,1249,2006,2006,3,840,3,9,Gd,0,16259,NridgHt,TA,342643
7,2730,1502,1553,1986,1987,2,576,2,8,Gd,1,10380,SawyerW,Gd,301000
3,1163,1162,1163,1955,2005,1,220,1,6,TA,0,5820,OldTown,TA,126175
7,2978,710,1898,1967,2007,2,564,2,11,Gd,1,11275,NAmes,Gd,242000
5,803,720,803,1941,1950,2,360,1,5,TA,0,5000,IDOTRR,TA,87000
8,1719,1719,1719,1993,1993,2,473,1,6,Gd,2,10846,Veenker,Gd,324000
6,1383,1383,1383,1960,1960,1,292,1,7,TA,0,11600,NAmes,TA,145250
6,2134,844,1445,1916,1994,2,441,2,10,Gd,0,11888,BrkSide,TA,214500
5,1192,596,596,1920,1950,1,189,1,6,TA,0,6402,IDOTRR,TA,78000
5,1728,1728,1728,1964,1964,1,352,2,10,TA,0,10624,NAmes,TA,119000
6,1638,943,943,1998,1998,2,472,2,7,TA,2,9042,Gilbert,TA,192000
5,1786,1499,1619,1965,1965,2,529,2,7,TA,2,164660,Timber,TA,228950
9,1922,1922,1922,2005,2006,3,676,2,8,Gd,1,14157,StoneBr,Gd,377426
7,1536,1536,1536,2002,2003,2,532,2,7,Gd,0,9135,CollgCr,Gd,214000
7,1621,1208,1621,1984,1998,2,440,2,8,Gd,0,14145,NWAmes,Gd,202500
6,1215,1215,1215,1958,1998,1,297,1,6,TA,0,12400,NAmes,TA,155000
8,1908,967,993,2002,2002,2,431,2,9,Gd,0,14191,Timber,Gd,202900
4,841,721,841,1950,1950,1,294,1,4,TA,0,8400,SawyerW,Fa,82000
3,1040,0,1040,1949,1950,2,400,2,6,TA,0,8544,NAmes,TA,87500
9,1684,1684,1684,2005,2005,2,564,2,6,Ex,1,8849,NridgHt,Ex,266000
5,1112,536,536,1976,1976,1,336,1,4,TA,0,2592,MeadowV,TA,85000
6,1577,972,972,1939,1950,1,312,1,6,Fa,1,6435,BrkSide,TA,140200
6,958,958,958,1960,1998,1,301,1,5,TA,0,12772,NAmes,TA,151500
6,1478,1478,1478,1960,1960,2,498,2,6,TA,2,17600,NAmes,TA,157500
7,1626,764,764,2003,2004,2,474,2,6,Gd,0,2448,NridgHt,Gd,154000
9,2728,1848,1848,2005,2006,3,706,2,10,Ex,2,20431,NridgHt,Ex,437154
9,1869,1869,1869,2007,2007,2,617,2,6,Ex,1,7820,NridgHt,Ex,318061
7,1453,1453,1453,1986,1986,2,445,1,6,Gd,1,5271,ClearCr,TA,190000
5,1111,616,616,1941,1950,1,200,1,5,TA,0,9084,Edwards,TA,95000
6,720,624,720,1928,2003,2,484,1,5,TA,0,8520,OldTown,TA,105900
6,1595,940,1192,1940,2000,1,240,1,6,TA,2,8400,SWISU,TA,140000
6,1200,1200,1200,1995,1995,2,521,2,6,Gd,0,11249,CollgCr,Gd,177500
6,1167,1158,1167,1992,1992,2,400,2,6,Gd,0,9248,Gilbert,TA,173000
5,1352,1062,1352,1958,1958,1,288,1,6,Gd,0,6930,ClearCr,TA,130000
8,1924,1086,1086,1998,1998,2,592,2,7,Gd,1,12011,NoRidge,Gd,280000
6,912,888,912,1978,1978,2,470,1,5,TA,1,7540,Mitchel,TA,156000
5,1505,883,988,1940,1982,1,240,1,8,TA,0,9144,BrkSide,TA,145000
7,1922,0,495,2003,2003,2,672,3,7,Gd,1,7301,Edwards,Gd,198500
6,987,483,483,1972,2007,1,264,1,5,Gd,0,1680,BrDale,TA,118000
6,1394,1394,1394,1963,1963,2,514,1,6,TA,2,9500,NAmes,TA,159000
6,1431,1099,1431,1962,1962,1,296,1,6,TA,1,9150,NAmes,TA,165000
5,1268,1268,1268,1954,1954,1,244,1,7,TA,1,7800,NAmes,TA,132000
5,1287,1063,1287,1959,2006,2,576,1,7,Gd,1,9830,NAmes,TA,162000
6,1664,953,953,2000,2000,2,460,2,7,TA,1,8121,Gilbert,TA,172400
4,1588,0,1120,1959,1959,2,680,2,7,TA,1,17120,ClearCr,TA,134432
6,752,744,752,1984,1984,1,264,1,4,TA,0,7175,SawyerW,TA,125000
5,1319,608,1319,1953,1953,1,270,1,5,TA,0,10634,NAmes,TA,123000
7,1928,847,847,2003,2004,2,434,2,8,Gd,1,8200,CollgCr,Gd,219500
8,2466,1580,1580,2004,2005,2,610,3,8,Gd,1,11143,Somerst,Gd,340000
9,1856,1856,1856,2010,2010,3,834,1,8,Ex,1,11394,StoneBr,Gd,394432
5,1691,1026,1026,1924,1950,1,308,2,6,Gd,1,5000,SWISU,TA,127000
7,1301,1293,1301,2006,2006,2,572,2,5,Gd,1,7200,Somerst,Gd,187750
7,1797,939,939,2006,2006,2,639,2,8,Gd,0,9245,CollgCr,Gd,213500
6,784,784,784,1928,1950,2,360,1,5,TA,0,9000,SawyerW,TA,76000
6,1953,1580,1079,1992,1992,2,501,2,9,Gd,2,53107,ClearCr,Gd,240000
